gene_name	source	accession	description
GRMZM2G129247	RefSeq peptide	NP_001145937	hypothetical protein LOC100279460 
GRMZM2G181028	UniProtKB/Swiss-Prot	P19862	Phytochrome A 
GRMZM2G155252	RefSeq peptide	NP_001143265	hypothetical protein LOC100275794 
GRMZM2G061156	RefSeq peptide	NP_001145816	hypothetical protein LOC100279323 
GRMZM2G138128	RefSeq peptide	NP_001130130	hypothetical protein LOC100191224 
GRMZM2G024948	UniProtKB/TrEMBL	C4JC54	Putative uncharacterized protein 
GRMZM2G030341	RefSeq peptide	NP_001147404	RING-H2 finger protein ATL3I 
GRMZM2G315125	RefSeq peptide	NP_001152417	ubiquinone biosynthesis protein ubiB 
GRMZM2G175089	RefSeq peptide	NP_001141125	hypothetical protein LOC100273210 
GRMZM2G042477	RefSeq peptide	NP_001169734	hypothetical protein LOC100383615 
GRMZM2G008687	RefSeq peptide	NP_001132856	hypothetical protein LOC100194349 
GRMZM2G056732	RefSeq peptide	NP_001131189	serine/threonine-protein kinase SnRK2.2 
GRMZM2G345081	RefSeq peptide	NP_001132632	hypothetical protein LOC100194107 
GRMZM2G095164	RefSeq peptide	NP_001150840	rapid alkalinization factor 1 
GRMZM2G134941	RefSeq peptide	NP_001151726	FPF1 
GRMZM2G129331	RefSeq peptide	NP_001169928	hypothetical protein LOC100383825 
GRMZM2G058432	RefSeq peptide	NP_001151715	pale aleurone color1 
GRMZM2G432642	RefSeq peptide	NP_001146595	hypothetical protein LOC100280191 
GRMZM2G042006	RefSeq peptide	NP_001131481	hypothetical protein LOC100192817 
GRMZM2G171781	RefSeq DNA	NM_001146797	hypothetical protein LOC100272313 (LOC100272313), mRNA
GRMZM2G058292	UniProtKB/TrEMBL	Q3V810	Anthocyanin biosynthetic gene regulator PAC1 
GRMZM2G154621	RefSeq peptide	NP_001151693	UBP26 
GRMZM2G000825	RefSeq peptide	NP_001141607	hypothetical protein LOC100273725 
GRMZM2G030123	RefSeq peptide	NP_001142173	hypothetical protein LOC100274340 
GRMZM2G064096	RefSeq peptide	NP_001140857	hypothetical protein LOC100272933 
GRMZM2G181000	RefSeq peptide	NP_001146143	hypothetical protein LOC100279712 
GRMZM2G015703	RefSeq peptide	NP_001169442	hypothetical protein LOC100383313 
GRMZM2G300375	RefSeq peptide	NP_001147775	ATP-dependent RNA helicase DHX8 
GRMZM2G018771	RefSeq peptide	NP_001140879	hypothetical protein LOC100272955 
GRMZM2G474755	RefSeq peptide	NP_001146874	polcalcin Jun o 2 
GRMZM2G024838	RefSeq peptide	NP_001152061	structural constituent of ribosome 
GRMZM2G111529	RefSeq peptide	NP_001169176	hypothetical protein LOC100383026 
GRMZM2G401436	RefSeq peptide	NP_001148352	protein binding protein 
GRMZM2G161534	RefSeq peptide	NP_001146081	hypothetical protein LOC100279613 
GRMZM2G094867	RefSeq peptide	NP_001136794	hypothetical protein LOC100216939 
GRMZM2G029716	RefSeq peptide	NP_001170484	hypothetical protein LOC100384483 
GRMZM2G432738	RefSeq peptide	NP_001132729	hypothetical protein LOC100194215 
GRMZM2G142013	UniProtKB/TrEMBL	B6SL85	Putative uncharacterized protein 
GRMZM2G144483	RefSeq peptide	NP_001131619	hypothetical protein LOC100192973 
GRMZM2G380656	RefSeq DNA	NM_001159232	low-molecular-weight cysteine-rich protein LCR70 (LOC100286345), mRNA
GRMZM2G356894	RefSeq peptide	NP_001136967	hypothetical protein LOC100217127 
GRMZM2G000581	RefSeq peptide	NP_001149319	secondary cell wall-related glycosyltransferase family 47 
GRMZM2G063754	RefSeq peptide	NP_001145033	hypothetical protein LOC100278212 
GRMZM2G014295	RefSeq peptide	NP_001150665	LOC100284298 
GRMZM2G158452	RefSeq peptide	NP_001169529	hypothetical protein LOC100383403 
GRMZM2G339645	RefSeq peptide	NP_001147926	CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase 
GRMZM2G081782	RefSeq peptide	NP_001106258	AN110 
GRMZM2G133129	UniProtKB/TrEMBL	C4J752	Putative uncharacterized protein 
GRMZM2G158313	RefSeq peptide	NP_001147754	bZIP transcription factor family protein 
GRMZM2G081888	RefSeq peptide	NP_001144768	hypothetical protein LOC100277827 
GRMZM2G055464	RefSeq peptide	NP_001149161	LOC100282783 
GRMZM2G105005	RefSeq peptide	NP_001146787	hypothetical protein LOC100280390 
GRMZM2G052825	RefSeq peptide	NP_001146393	hypothetical protein LOC100279973 
GRMZM2G134396	RefSeq peptide	NP_001170714	hypothetical protein LOC100384797 
GRMZM2G171961	UniProtKB/TrEMBL	C0PEA7	Putative uncharacterized protein 
GRMZM2G029546	RefSeq peptide	NP_001147364	LOC100280972 
GRMZM2G045893	RefSeq peptide	NP_001131766	hypothetical protein LOC100193135 
GRMZM2G093441	UniProtKB/TrEMBL	C0P8A1	Putative uncharacterized protein 
GRMZM2G003172	RefSeq peptide	NP_001148797	LOC100282414 
GRMZM2G133113	UniProtKB/TrEMBL	B4FKZ2	Putative uncharacterized protein 
GRMZM2G173967	RefSeq peptide	NP_001136691	hypothetical protein LOC100216823 
GRMZM2G139639	RefSeq DNA	NM_001156420	inorganic phosphate transporter 1-5 (LOC100283520), mRNA
AC209374.4_FG002	RefSeq peptide	NP_001144085	hypothetical protein LOC100276918 
GRMZM2G149899	RefSeq peptide	NP_001144780	hypothetical protein LOC100277846 
GRMZM2G113863	RefSeq peptide	NP_001149888	copper chaperone 
GRMZM2G045955	RefSeq peptide	NP_001169337	hypothetical protein LOC100383204 
GRMZM2G301934	RefSeq peptide	NP_001150053	LOC100283680 
GRMZM2G117603	UniProtKB/Swiss-Prot	P46251	Actin-depolymerizing factor 1 (ADF-1)(ZmADF1)(ZmABP1)
GRMZM2G008263	RefSeq peptide	NP_001106039	granule bound starch synthase IIa precursor 
GRMZM2G052239	RefSeq peptide	NP_001148332	ANAC030 
GRMZM2G301932	RefSeq peptide	NP_001151174	gibberellin receptor GID1L2 
GRMZM2G046055	UniProtKB/TrEMBL	B6T543	Histone H2A 
GRMZM2G072911	RefSeq peptide	NP_001152718	LOC100286359 
GRMZM2G003669	RefSeq peptide	NP_001142192	hypothetical protein LOC100274360 
GRMZM2G132486	RefSeq peptide	NP_001145885	hypothetical protein LOC100279401 
GRMZM2G122810	RefSeq peptide	NP_001106071	sterol methyltransferase1 
GRMZM2G049925	UniProtKB/TrEMBL	B6T011	Putative uncharacterized protein 
GRMZM2G171987	RefSeq peptide	NP_001151441	ATP binding protein 
GRMZM2G085945	RefSeq peptide	NP_001145628	hypothetical protein LOC100279115 
GRMZM2G104146	RefSeq peptide	NP_001132597	hypothetical protein LOC100194069 
GRMZM2G049913	UniProtKB/TrEMBL	B8A0G7	Putative uncharacterized protein 
GRMZM2G172011	RefSeq peptide	NP_001148213	RNA-binding region RNP-1 
GRMZM2G096591	RefSeq peptide	NP_001150853	glucan endo-1,3-beta-glucosidase 7 
GRMZM2G093503	UniProtKB/TrEMBL	B4FKL9	Fiber protein Fb11Putative uncharacterized protein ;
GRMZM2G459484	RefSeq peptide	NP_001132475	hypothetical protein LOC100193932 
GRMZM2G096709	RefSeq peptide	NP_001106028	putative growth-regulating factor 10 
GRMZM2G129453	RefSeq peptide	NP_001130866	hypothetical protein LOC100191970 
GRMZM2G046916	RefSeq peptide	NP_001148433	LOC100282048 
GRMZM2G119705	RefSeq peptide	NP_001130961	hypothetical protein LOC100192066 
GRMZM2G169990	RefSeq peptide	NP_001168065	hypothetical protein LOC100381797 
GRMZM2G054870	RefSeq peptide	NP_001142066	hypothetical protein LOC100274223 
GRMZM2G174170	RefSeq peptide	NP_001151593	LOC100285227 
GRMZM2G364643	RefSeq peptide	NP_001168114	hypothetical protein LOC100381856 
GRMZM2G473711	RefSeq peptide	NP_001105671	beta-glucanase 
GRMZM2G104443	RefSeq peptide	NP_001149461	pyrrolidone carboxyl peptidase 
GRMZM2G394827	RefSeq peptide	NP_001151268	LOC100284901 
GRMZM2G056075	UniProtKB/Swiss-Prot	Q9XGC9	DNA mismatch repair protein MSH2 (MUS1)
AC211532.3_FG001	RefSeq peptide	NP_001167777	hypothetical protein LOC100381470 
GRMZM2G146140	RefSeq peptide	NP_001146355	hypothetical protein LOC100279933 
GRMZM2G313316	RefSeq peptide	NP_001168123	hypothetical protein LOC100381867 
GRMZM2G104316	RefSeq peptide	NP_001144803	hypothetical protein LOC100277879 
GRMZM2G138943	RefSeq peptide	NP_001132010	hypothetical protein LOC100193415 
GRMZM2G056934	RefSeq peptide	NP_001168065	hypothetical protein LOC100381797 
GRMZM2G018369	UniProtKB/TrEMBL	B4FXS1	Putative uncharacterized protein 
GRMZM2G056143	RefSeq peptide	NP_001169768	hypothetical protein LOC100383652 
GRMZM2G181104	RefSeq peptide	NP_001148974	transposon protein 
GRMZM2G117146	RefSeq peptide	NP_001151401	sugar transport protein 8 
GRMZM2G052630	RefSeq peptide	NP_001168588	hypothetical protein LOC100382372 
GRMZM2G006119	RefSeq peptide	NP_001136546	hypothetical protein LOC100216664 
GRMZM2G153068	RefSeq peptide	NP_001149059	LOC100282679 
GRMZM2G130728	RefSeq peptide	NP_001151389	LOC100285022 
GRMZM2G063340	RefSeq peptide	NP_001149258	ribosomal proteinS12 (homolog) 
GRMZM2G063899	RefSeq peptide	NP_001136668	hypothetical protein LOC100216797 
GRMZM2G000816	RefSeq peptide	NP_001151187	LOC100284820 
GRMZM2G375724	UniProtKB/TrEMBL	C4JB57	Putative uncharacterized protein 
GRMZM2G120008	RefSeq peptide	NP_001143230	hypothetical protein LOC100275747 
GRMZM2G397247	RefSeq peptide	NP_001150422	LOC100284052 
GRMZM2G020187	UniProtKB/Swiss-Prot	A1Y2B7	Protein SUPPRESSOR OF GENE SILENCING 3 homolog (ZmSGS3)(Protein LEAFBLADELESS 1)
GRMZM2G066029	RefSeq peptide	NP_001146935	auxin-inducible protein 
GRMZM2G131431	UniProtKB/TrEMBL	B6SQV1	Putative uncharacterized protein 
GRMZM2G008651	UniProtKB/TrEMBL	B6SML2	Putative uncharacterized protein 
GRMZM2G118344	RefSeq peptide	NP_001168137	hypothetical protein LOC100381884 
GRMZM2G146446	UniProtKB/TrEMBL	C4J956	Putative uncharacterized protein 
GRMZM2G180654	RefSeq peptide	NP_001141724	hypothetical protein LOC100273855 
GRMZM2G069095	RefSeq peptide	NP_001105380	vacuolar proton pump homolog1 
GRMZM2G045675	RefSeq peptide	NP_001141030	hypothetical protein LOC100273109 
GRMZM2G008665	RefSeq DNA	NM_001151270	hypothetical protein LOC100277790 (LOC100277790), mRNA
GRMZM2G160611	RefSeq peptide	NP_001145430	hypothetical protein LOC100278801 
GRMZM2G404895	RefSeq peptide	NP_001143207	hypothetical protein LOC100275710 
GRMZM2G048450	RefSeq peptide	NP_001151984	WRKY39v2 - superfamily of TFs having WRKY and zinc finger domains 
GRMZM2G066996	RefSeq peptide	NP_001167655	hypothetical protein LOC100381285 
GRMZM2G010176	RefSeq peptide	NP_001142005	hypothetical protein LOC100274155 
GRMZM2G126435	RefSeq peptide	NP_001150042	serine/threonine-protein phosphatase 5 
GRMZM2G156824	RefSeq DNA	NM_001154248	serine/threonine-protein kinase Cx32 (LOC100281330), mRNA
GRMZM2G129817	RefSeq peptide	NP_001132689	hypothetical protein LOC100194167 
GRMZM2G152808	UniProtKB/TrEMBL	B6SQB3	Putative uncharacterized protein 
GRMZM2G089448	RefSeq peptide	NP_001168884	hypothetical protein LOC100382689 
GRMZM2G160619	RefSeq peptide	NP_001170505	hypothetical protein LOC100384510 
GRMZM2G013652	RefSeq peptide	NP_001131801	hypothetical protein LOC100193174 
GRMZM2G158568	RefSeq peptide	NP_001152480	60S ribosomal protein L31 
GRMZM2G494514	RefSeq peptide	NP_001147038	copine-3 
GRMZM2G039383	RefSeq peptide	NP_001149680	nonspecific lipid-transfer protein 
GRMZM2G029685	RefSeq peptide	NP_001150583	40S ribosomal protein S24 
GRMZM2G010202	UniProtKB/TrEMBL	B6SMZ5	Putative uncharacterized proteinSerine palmitoyltransferase 2 ;
GRMZM2G461145	RefSeq peptide	NP_001151946	lariat debranching enzyme 
GRMZM2G024024	RefSeq peptide	NP_001147941	protein kinase 
GRMZM2G046576	UniProtKB/Swiss-Prot	O04438	Signal recognition particle 9 kDa protein (SRP9)
GRMZM2G122537	RefSeq peptide	NP_001106239	putative wuschel homeobox protein 
GRMZM2G413044	RefSeq peptide	NP_001151883	LOC100285520 
GRMZM2G025685	RefSeq DNA	NM_001150893	LOC100277279 (TIDP3183), mRNA
GRMZM2G082823	RefSeq peptide	NP_001141588	hypothetical protein LOC100273704 
GRMZM2G331283	RefSeq peptide	NP_001142085	hypothetical protein LOC100274246 
GRMZM2G039385	RefSeq peptide	NP_001149567	phosphatidylserine synthase 2 
GRMZM2G145518	RefSeq DNA	NM_001153068	hypothetical protein LOC100280135 (LOC100280135), mRNA
GRMZM2G174610	RefSeq peptide	NP_001141031	hypothetical protein LOC100273110 
GRMZM2G335638	RefSeq peptide	NP_001169655	hypothetical protein LOC100383536 
GRMZM2G142345	RefSeq DNA	NM_001153074	hypothetical protein LOC100280142 (LOC100280142), mRNA
GRMZM2G341036	RefSeq peptide	NP_001144119	hypothetical protein LOC100276959 
GRMZM2G145041	RefSeq peptide	NP_001146835	LOC100280442 
GRMZM2G096370	RefSeq peptide	NP_001168154	hypothetical protein LOC100381905 
GRMZM2G165195	RefSeq peptide	NP_001136753	hypothetical protein LOC100216894 
GRMZM2G161285	RefSeq peptide	NP_001136680	hypothetical protein LOC100216810 
GRMZM2G074358	UniProtKB/TrEMBL	C4J546	Putative uncharacterized protein 
GRMZM2G460581	RefSeq DNA	NM_001149952	hypothetical protein LOC100276071 (LOC100276071), mRNA
GRMZM2G092609	RefSeq peptide	NP_001140232	hypothetical protein LOC100272272 
GRMZM2G154845	RefSeq peptide	NP_001145231	hypothetical protein LOC100278502 
GRMZM2G176780	RefSeq peptide	NP_001151945	carbohydrate transporter/ sugar porter/ transporter 
GRMZM2G008232	RefSeq peptide	NP_001149476	vacuolar ATP synthase subunit F 
GRMZM2G129865	UniProtKB/TrEMBL	C4J3X0	Putative uncharacterized protein 
GRMZM2G012273	UniProtKB/TrEMBL	B6TM84	Putative uncharacterized protein 
GRMZM2G092286	UniProtKB/TrEMBL	B4FT58	Putative uncharacterized protein 
GRMZM2G146614	RefSeq peptide	NP_001147455	B-box zinc finger family protein 
GRMZM2G414844	RefSeq peptide	NP_001152263	ZF-HD homeobox protein 
GRMZM2G051619	RefSeq peptide	NP_001146872	gibberellin 2-beta-dioxygenase 
GRMZM2G089406	RefSeq peptide	NP_001145928	hypothetical protein LOC100279451 
GRMZM2G085582	RefSeq peptide	NP_001150991	nucleic acid binding protein 
GRMZM2G104109	RefSeq peptide	NP_001146942	peroxidase 1 
GRMZM2G103526	RefSeq peptide	NP_001130101	hypothetical protein LOC100191194 
GRMZM2G129889	RefSeq peptide	NP_001131622	hypothetical protein LOC100192976 
GRMZM2G477694	RefSeq peptide	NP_001159148	hypothetical protein LOC100304231 
GRMZM2G100579	RefSeq peptide	NP_001147969	chloroplast outer envelope protein 86 
GRMZM2G325623	RefSeq peptide	NP_001131385	hypothetical protein LOC100192711 
GRMZM2G061554	UniProtKB/TrEMBL	B6UFU0	Putative uncharacterized protein 
GRMZM2G573258	UniProtKB/TrEMBL	B6SGI1	Putative uncharacterized protein 
GRMZM2G086032	RefSeq peptide	NP_001143199	hypothetical protein LOC100275702 
GRMZM2G073671	RefSeq peptide	NP_001105362	cyclin3 
GRMZM2G114592	RefSeq peptide	NP_001141973	hypothetical protein LOC100274123 
GRMZM2G000842	RefSeq DNA	NM_001157452	transcription factor TGA6 (LOC100284557), mRNA
GRMZM2G096051	RefSeq peptide	NP_001130549	hypothetical protein LOC100191648 
GRMZM2G171723	UniProtKB/TrEMBL	B6TFL2	Putative uncharacterized protein 
GRMZM2G477236	RefSeq peptide	NP_001167647	hypothetical protein LOC100381272 
GRMZM2G171852	RefSeq peptide	NP_001142794	hypothetical protein LOC100275168 
GRMZM2G017991	RefSeq peptide	NP_001149222	LOC100282844 
GRMZM2G163572	RefSeq peptide	NP_001131831	hypothetical protein LOC100193206 
GRMZM2G109009	RefSeq peptide	NP_001168358	hypothetical protein LOC100382126 
GRMZM2G129913	RefSeq peptide	NP_001145818	hypothetical protein LOC100279325 
GRMZM2G426336	RefSeq peptide	NP_001130439	hypothetical protein LOC100191536 
GRMZM2G021796	RefSeq peptide	NP_001151934	RING-H2 finger protein ATL3F 
GRMZM2G126292	RefSeq peptide	NP_001136580	hypothetical protein LOC100216703 
GRMZM2G039610	RefSeq peptide	NP_001168154	hypothetical protein LOC100381905 
GRMZM2G133631	RefSeq peptide	NP_001140969	hypothetical protein LOC100273048 
GRMZM2G373717	UniProtKB/TrEMBL	C4J9U3	Putative uncharacterized protein 
GRMZM2G057369	RefSeq peptide	NP_001150107	LOC100283736 
GRMZM2G427937	RefSeq peptide	NP_001150701	LOC100284334 
GRMZM2G472052	RefSeq peptide	NP_001150031	nucleic acid binding protein 
GRMZM2G047995	RefSeq peptide	NP_001146607	hypothetical protein LOC100280204 
GRMZM2G138516	RefSeq peptide	NP_001169970	hypothetical protein LOC100383870 
GRMZM2G057251	RefSeq peptide	NP_001150004	LOC100283631 
GRMZM2G169333	RefSeq peptide	NP_001141023	hypothetical protein LOC100273102 
GRMZM2G405284	RefSeq DNA	NM_001152597	hypothetical protein LOC100279600 (LOC100279600), mRNA
GRMZM2G025531	RefSeq peptide	NP_001168142	hypothetical protein LOC100381889 
GRMZM2G064330	RefSeq peptide	NP_001132012	hypothetical protein LOC100193418 
GRMZM2G134930	RefSeq peptide	NP_001147076	LOC100280685 
GRMZM2G069325	RefSeq peptide	NP_001140362	hypothetical protein LOC100272412 
GRMZM2G102639	RefSeq peptide	NP_001130902	hypothetical protein LOC100192006 
GRMZM2G129761	UniProtKB/Swiss-Prot	A2SZW8	1-Cys peroxiredoxin PER1 (EC 1.11.1.15)(Thioredoxin peroxidase)(Rehydrin homolog)
GRMZM2G026839	RefSeq peptide	NP_001145529	hypothetical protein LOC100278954 
GRMZM2G161792	RefSeq peptide	NP_001167925	hypothetical protein LOC100381639 
GRMZM2G111906	RefSeq peptide	NP_001105597	terminal acidic SANT 1 
GRMZM2G026943	RefSeq peptide	NP_001140881	hypothetical protein LOC100272957 
GRMZM2G393433	UniProtKB/TrEMBL	B6TZM7	CUC2 
GRMZM2G000718	RefSeq peptide	NP_001151516	novel plant SNARE 11 
AC196961.2_FG003	UniProtKB/Swiss-Prot	P62787	Histone H4 
GRMZM2G113177	RefSeq peptide	NP_001132409	hypothetical protein LOC100193856 
GRMZM2G365961	RefSeq peptide	NP_001147469	arogenate dehydrogenase 
GRMZM2G163136	RefSeq peptide	NP_001145017	hypothetical protein LOC100278188 
GRMZM2G079632	RefSeq peptide	NP_001141629	hypothetical protein LOC100273749 
GRMZM2G031733	RefSeq peptide	NP_001141679	hypothetical protein LOC100273806 
GRMZM2G048435	RefSeq peptide	NP_001159303	hypothetical protein LOC100304395 
GRMZM2G124671	RefSeq peptide	NP_001137095	hypothetical protein LOC100217271 
GRMZM2G124136	RefSeq peptide	NP_001130713	hypothetical protein LOC100191817 
GRMZM2G130053	RefSeq peptide	NP_001151293	cysteine protease 1 
GRMZM2G101625	RefSeq peptide	NP_001159051	hypothetical protein LOC100304077 
GRMZM2G041595	RefSeq peptide	NP_001105818	inorganic phosphate transporter 5 
GRMZM2G106216	RefSeq peptide	NP_001136900	hypothetical protein LOC100217057 
GRMZM2G048559	RefSeq peptide	NP_001150075	lysM domain containing protein 
GRMZM2G333433	RefSeq peptide	NP_001170286	hypothetical protein LOC100384249 
GRMZM2G471083	RefSeq peptide	NP_001170609	hypothetical protein LOC100384650 
GRMZM2G080129	RefSeq peptide	NP_001168353	hypothetical protein LOC100382121 
GRMZM2G180319	RefSeq peptide	NP_001159074	ramosa 2 
GRMZM2G071745	UniProtKB/TrEMBL	B6T8G6	Cytochrome b5 
GRMZM2G114398	RefSeq peptide	NP_001144757	hypothetical protein LOC100277815 
GRMZM2G477325	RefSeq peptide	NP_001152633	hydrophobic protein LTI6A 
GRMZM2G428356	RefSeq peptide	NP_001144394	hypothetical protein LOC100277327 
GRMZM2G113613	RefSeq peptide	NP_001170407	hypothetical protein LOC100384394 
GRMZM2G139066	RefSeq peptide	NP_001151302	F-box domain containing protein 
GRMZM2G072071	RefSeq peptide	NP_001151774	ATP-binding cassette sub-family B member 10 
GRMZM2G141209	RefSeq DNA	NM_001153240	LOC100280314 (IDP1676), mRNA
GRMZM2G359571	UniProtKB/TrEMBL	Q4A1J2	Putative cystatin Fragment 
GRMZM2G163374	RefSeq peptide	NP_001144877	hypothetical protein LOC100277976 
GRMZM2G354827	RefSeq peptide	NP_001168288	hypothetical protein LOC100382052 
GRMZM2G048430	RefSeq peptide	NP_001150194	LOC100283824 
GRMZM2G027851	UniProtKB/TrEMBL	Q9ATZ9	Sodium/hydrogen exchanger Fragment 
GRMZM2G002627	RefSeq peptide	NP_001143670	hypothetical protein LOC100276393 
GRMZM2G349410	RefSeq peptide	NP_001144189	hypothetical protein LOC100277049 
GRMZM2G459052	UniProtKB/TrEMBL	B4FTJ1	Putative uncharacterized protein 
GRMZM2G001097	RefSeq peptide	NP_001131631	hypothetical protein LOC100192987 
GRMZM2G139650	RefSeq DNA	NM_001154886	phytoene dehydrogenase-like (LOC100281969), mRNA
GRMZM2G412304	RefSeq peptide	NP_001168725	hypothetical protein LOC100382517 
GRMZM2G005680	RefSeq peptide	NP_001105843	sialyltransferase like protein 
GRMZM2G112429	RefSeq peptide	NP_001151903	esterase/lipase/thioesterase 
GRMZM2G126505	RefSeq peptide	NP_001142420	hypothetical protein LOC100274595 
GRMZM2G072315	RefSeq peptide	NP_001150028	60S ribosomal protein L13a 
GRMZM2G399961	RefSeq peptide	NP_001145538	hypothetical protein LOC100278974 
GRMZM2G421899	RefSeq peptide	NP_001170293	hypothetical protein LOC100384256 
GRMZM2G022996	RefSeq peptide	NP_001141058	hypothetical protein LOC100273139 
GRMZM2G025109	RefSeq peptide	NP_001168541	hypothetical protein LOC100382321 
GRMZM2G442804	RefSeq peptide	NP_001132053	hypothetical protein LOC100193465 
GRMZM2G129189	RefSeq peptide	NP_001150754	endochitinase PR4 
GRMZM2G435818	RefSeq peptide	NP_001140455	hypothetical protein LOC100272514 
GRMZM2G025833	RefSeq peptide	NP_001147532	beta-amylase 
GRMZM2G003064	RefSeq peptide	NP_001151692	erg28 like protein 
GRMZM2G095194	RefSeq peptide	NP_001159182	hypothetical protein LOC100304267 
GRMZM2G102915	RefSeq peptide	NP_001127753	isopentenyl transferase 
GRMZM2G147014	RefSeq peptide	NP_001147478	dehydrin COR410 
GRMZM2G027135	RefSeq peptide	NP_001141690	hypothetical protein LOC100273819 
GRMZM2G102923	RefSeq peptide	NP_001145842	hypothetical protein LOC100279352 
GRMZM2G025885	RefSeq DNA	NM_001153044	hypothetical protein LOC100280106 (LOC100280106), mRNA
GRMZM2G153332	RefSeq peptide	NP_001144184	hypothetical protein LOC100277041 
GRMZM2G123371	RefSeq peptide	NP_001131947	hypothetical protein LOC100193340 
GRMZM2G065781	RefSeq peptide	NP_001143518	hypothetical protein LOC100276201 
GRMZM2G112764	RefSeq peptide	NP_001151255	LOC100284888 
GRMZM2G145226	RefSeq peptide	NP_001140285	hypothetical protein LOC100272329 
GRMZM2G020912	RefSeq peptide	NP_001170756	hypothetical protein LOC100384849 
GRMZM2G141034	RefSeq peptide	NP_001145934	hypothetical protein LOC100279457 
GRMZM2G153368	RefSeq peptide	NP_001148704	low-molecular-weight cysteine-rich protein LCR69 
GRMZM2G112247	RefSeq DNA	NM_001155772	cellular retinaldehyde-binding/triple function, C-terminal (LOC100282866), mRNA
GRMZM2G406101	RefSeq peptide	NP_001146062	hypothetical protein LOC100279593 
GRMZM2G127963	RefSeq peptide	NP_001141010	hypothetical protein LOC100273089 
GRMZM2G068330	RefSeq DNA	NM_001177153	hypothetical protein LOC100384670 (LOC100384670), mRNA
AC214350.3_FG007	RefSeq peptide	NP_001131160	hypothetical protein LOC100192468 
GRMZM2G153488	RefSeq peptide	NP_001147001	LOC100280611 
GRMZM2G072865	UniProtKB/TrEMBL	C4J917	Putative uncharacterized protein 
GRMZM2G012262	RefSeq peptide	NP_001152589	LOC100286229 
GRMZM2G061783	RefSeq peptide	NP_001141137	hypothetical protein LOC100273223 
GRMZM2G142037	UniProtKB/TrEMBL	C4J760	Putative uncharacterized protein 
GRMZM2G005909	UniProtKB/TrEMBL	D3G6F2	Putative geranylgeranyl pyrophosphate synthase 4 
GRMZM2G010372	RefSeq peptide	NP_001132593	hypothetical protein LOC100194065 
GRMZM2G165616	RefSeq DNA	NM_001159444	hypothetical protein LOC100277900 (LOC100277900), mRNA
GRMZM2G138896	RefSeq DNA	NM_001147520	hypothetical protein LOC100273071 (LOC100273071), mRNA
GRMZM2G122577	RefSeq DNA	NM_001153037	hypothetical protein LOC100280099 (LOC100280099), mRNA
GRMZM2G154628	UniProtKB/Swiss-Prot	Q9ATM6	Aquaporin PIP2-4 (Plasma membrane intrinsic protein 2-4)(ZmPIP2-4)(ZmPIP2;4)
GRMZM2G044348	RefSeq peptide	NP_001136915	hypothetical protein LOC100217073 
GRMZM2G106795	RefSeq peptide	NP_001150662	ADP-ribosylation factor 
GRMZM2G022175	RefSeq peptide	NP_001130953	hypothetical protein LOC100192058 
GRMZM2G123480	UniProtKB/TrEMBL	B6TTE5	Putative uncharacterized protein 
GRMZM2G002859	RefSeq peptide	NP_001140764	hypothetical protein LOC100272839 
GRMZM2G037204	RefSeq DNA	NM_001143559	LOC100217200 (TIDP3363), mRNA
GRMZM2G114052	RefSeq peptide	NP_001146318	hypothetical protein LOC100279894 
GRMZM2G020411	RefSeq peptide	NP_001136843	hypothetical protein LOC100216994 
GRMZM2G020201	RefSeq peptide	NP_001144023	hypothetical protein LOC100276844 
GRMZM2G046748	RefSeq peptide	NP_001146704	hypothetical protein LOC100280306 
GRMZM2G014409	RefSeq peptide	NP_001143273	hypothetical protein LOC100275804 
GRMZM2G046353	RefSeq peptide	NP_001145517	hypothetical protein LOC100278926 
AC197758.3_FG004	RefSeq peptide	NP_001151940	peroxidase 52 
GRMZM2G044537	RefSeq peptide	NP_001147218	RING zinc finger protein-like 
GRMZM2G064382	RefSeq peptide	NP_001147729	LOC100281339 
GRMZM2G451281	UniProtKB/TrEMBL	B6SPA1	Putative uncharacterized protein 
GRMZM2G111319	RefSeq peptide	NP_001167930	hypothetical protein LOC100381644 
GRMZM2G044627	RefSeq peptide	NP_001132265	hypothetical protein LOC100193701 
GRMZM2G477205	RefSeq peptide	NP_001131853	hypothetical protein LOC100193231 
GRMZM2G102838	UniProtKB/TrEMBL	A5JVZ6	Plastid high chlorophyll fluorescence 136 Precursor 
GRMZM2G179501	RefSeq peptide	NP_001170278	hypothetical protein LOC100384239 
GRMZM2G401463	RefSeq peptide	NP_001169303	hypothetical protein LOC100383167 
GRMZM2G053485	UniProtKB/TrEMBL	B6UCJ9	Putative uncharacterized protein 
GRMZM2G339327	UniProtKB/TrEMBL	B6SR64	Putative uncharacterized protein 
GRMZM2G513713	UniProtKB/TrEMBL	C0HGX3	Putative uncharacterized protein 
GRMZM2G064001	RefSeq peptide	NP_001131555	hypothetical protein LOC100192895 
GRMZM2G140011	RefSeq peptide	NP_001144374	hypothetical protein LOC100277297 
GRMZM2G055507	RefSeq peptide	NP_001146593	hypothetical protein LOC100280189 
GRMZM2G020653	RefSeq peptide	NP_001143993	hypothetical protein LOC100276811 
GRMZM2G152827	RefSeq peptide	NP_001104842	mitochondrial phosphate transporter 
GRMZM2G380094	RefSeq peptide	NP_001170546	hypothetical protein LOC100384564 
